mir,gene
hsa-miR-200a-3p,MARVELD2
hsa-miR-200a-3p,HIST1H3J
hsa-miR-200a-3p,SORCS2
hsa-miR-200a-3p,JUNB
hsa-miR-200a-3p,TINAGL1
hsa-miR-200a-3p,DLGAP5
hsa-miR-200a-3p,ETF1
hsa-miR-200a-3p,DCBLD1
hsa-miR-200a-3p,MRGPRX3
hsa-miR-200a-3p,NRG1
hsa-miR-200a-3p,FAM115C
hsa-miR-200a-3p,FBXO43
hsa-miR-200a-3p,SENP7
hsa-miR-200a-3p,SKA2
hsa-miR-200a-3p,SERTAD2
hsa-miR-200a-3p,DUSP5
hsa-miR-200a-3p,NUDT17
hsa-miR-200a-3p,TMEM231
hsa-miR-200a-3p,SGCB
hsa-miR-200a-3p,ZNF738
hsa-miR-200a-3p,CALD1
hsa-miR-200a-3p,PSG7
hsa-miR-200a-3p,SIK2
hsa-miR-200a-3p,SH3RF1
hsa-miR-200a-3p,MAOB
hsa-miR-200a-3p,CXorf26
hsa-miR-200a-3p,MYH15
hsa-miR-200a-3p,TTLL7
hsa-miR-200a-3p,SLC30A6
hsa-miR-200a-3p,PPP1R12B
hsa-miR-200a-3p,P2RX5
hsa-miR-200a-3p,MCTS1
hsa-miR-200a-3p,CDC42
hsa-miR-200a-3p,ITGA6
hsa-miR-200a-3p,MAP7
hsa-miR-200a-3p,PRKCD
hsa-miR-200a-3p,PLCXD1
hsa-miR-200a-3p,LRRCC1
hsa-miR-200a-3p,C15orf32
hsa-miR-200a-3p,DDIT4L
hsa-miR-200a-3p,PCTP
hsa-miR-200a-3p,GIPC1
hsa-miR-200a-3p,SLC22A4
hsa-miR-200a-3p,C6orf192
hsa-miR-200a-3p,PARP15
hsa-miR-200a-3p,MUSK
hsa-miR-200a-3p,NAPG
hsa-miR-200a-3p,AP1M2
hsa-miR-200a-3p,MRPL50
hsa-miR-200a-3p,DR1
hsa-miR-200a-3p,RAB5A
hsa-miR-200a-3p,B4GALT4
hsa-miR-200a-3p,SGOL2
hsa-miR-200a-3p,CCDC144B
hsa-miR-200a-3p,PHF19
hsa-miR-200a-3p,EIF2S1
hsa-miR-200a-3p,C2orf43
hsa-miR-200a-3p,SLC12A7
hsa-miR-200a-3p,LOC100129033
hsa-miR-200a-3p,HKDC1
hsa-miR-200a-3p,PSPH
hsa-miR-200a-3p,C11orf80
hsa-miR-200a-3p,AGRN
hsa-miR-200a-3p,H1F0
hsa-miR-200a-3p,SLC31A2
hsa-miR-200a-3p,KIF20A
hsa-miR-200a-3p,MCFD2
hsa-miR-200a-3p,ITPKC
hsa-miR-200a-3p,PHF7
hsa-miR-200a-3p,HIST1H3H
hsa-miR-200a-3p,FAM83A
hsa-miR-200a-3p,GPER
hsa-miR-200a-3p,RTKN
hsa-miR-200a-3p,CCDC68
hsa-miR-200a-3p,FSIP2
hsa-miR-200a-3p,INADL
hsa-miR-200a-3p,SREK1IP1
hsa-miR-200a-3p,KIF20B
hsa-miR-200a-3p,WWTR1
hsa-miR-200a-3p,PTPRM
hsa-miR-200a-3p,SH2D4A
hsa-miR-200a-3p,RPAP3
hsa-miR-200a-3p,PLEKHM1
hsa-miR-200a-3p,KLF16
hsa-miR-200a-3p,C19orf51
hsa-miR-200a-3p,PCM1
hsa-miR-200a-3p,CHRDL1
hsa-miR-200a-3p,CASD1
hsa-miR-200a-3p,KIAA1543
hsa-miR-200a-3p,PPIF
hsa-miR-200a-3p,KIF4A
hsa-miR-200a-3p,KCTD2
hsa-miR-200a-3p,HIST1H2BA
hsa-miR-200a-3p,LRRN4
hsa-miR-200a-3p,ZNF703
hsa-miR-200a-3p,BACH1
hsa-miR-200a-3p,DNAJC8
hsa-miR-200a-3p,IKBIP
hsa-miR-200a-3p,LMNB1
hsa-miR-200a-3p,MFAP3
hsa-miR-200a-3p,ERI1
hsa-miR-200a-3p,BRMS1L
hsa-miR-200a-3p,CNDP2
hsa-miR-200a-3p,RAB22A
hsa-miR-200a-3p,AP1G2
hsa-miR-200a-3p,ELL2
hsa-miR-200a-3p,CDKN3
hsa-miR-200a-3p,DFFB
hsa-miR-200a-3p,C7orf70
hsa-miR-200a-3p,DNAJB4
hsa-miR-200a-3p,KLF12
hsa-miR-200a-3p,FSIP2
hsa-miR-200a-3p,MRPS34
hsa-miR-200a-3p,ZFYVE20
hsa-miR-200a-3p,HIPK1
hsa-miR-200a-3p,TNFSF4
hsa-miR-200a-3p,NCAPG2
hsa-miR-200a-3p,FRRS1
hsa-miR-200a-3p,PCDHB13
hsa-miR-200a-3p,SGPP1
hsa-miR-200a-3p,MKNK1
hsa-miR-200a-3p,KDR
hsa-miR-200a-3p,COX15
hsa-miR-200a-3p,HIST1H2AB
hsa-miR-200a-3p,PM20D2
hsa-miR-200a-3p,LRRC20
hsa-miR-200a-3p,SERPINA1
hsa-miR-200a-3p,SEH1L
hsa-miR-200a-3p,GNA13
hsa-miR-200a-3p,ASPH
hsa-miR-200a-3p,C5orf51
hsa-miR-200a-3p,C14orf104
hsa-miR-200a-3p,RNF38
hsa-miR-200a-3p,NIPAL1
hsa-miR-200a-3p,AMPD3
hsa-miR-200a-3p,ZDHHC6
hsa-miR-200a-3p,PDPK1
hsa-miR-200a-3p,PLEK2
hsa-miR-200a-3p,ID3
hsa-miR-200a-3p,FAM115C
hsa-miR-200a-3p,TFRC
hsa-miR-200a-3p,C10orf26
hsa-miR-200a-3p,UBE2O
hsa-miR-200a-3p,CHPF
hsa-miR-200a-3p,ELL2
hsa-miR-200a-3p,WT1
hsa-miR-200a-3p,PPP1R15A
hsa-miR-200a-3p,ATL2
hsa-miR-200a-3p,ZDHHC13
hsa-miR-200a-3p,MAPK13
hsa-miR-200a-3p,LYPD6B
hsa-miR-200a-3p,WDR59
hsa-miR-200a-3p,NDUFB9
hsa-miR-200a-3p,HIP1R
hsa-miR-200a-3p,PGM2L1
hsa-miR-200a-3p,C6orf115
hsa-miR-200a-3p,NLRP3
hsa-miR-200a-3p,ARFGEF2
hsa-miR-200a-3p,FRMD6
hsa-miR-200a-3p,TMEM191A
hsa-miR-200a-3p,STAT5B
hsa-miR-200a-3p,ZDHHC23
hsa-miR-200a-3p,ARRB2
hsa-miR-200a-3p,CDH1
hsa-miR-200a-3p,NASP
hsa-miR-200a-3p,HMG20A
hsa-miR-200a-3p,FBXL20
hsa-miR-200a-3p,MT1X
hsa-miR-200a-3p,KLF4
hsa-miR-200a-3p,TMCC1
hsa-miR-200a-3p,ASB8
hsa-miR-200a-3p,C19orf2
hsa-miR-200a-3p,C10orf47
hsa-miR-200a-3p,ELOVL6
hsa-miR-200a-3p,HK2
hsa-miR-200a-3p,HELZ
hsa-miR-200a-3p,KAL1
hsa-miR-200a-3p,MT1E
hsa-miR-200a-3p,DCAF15
hsa-miR-200a-3p,CSF1R
hsa-miR-200a-3p,ACVR1C
hsa-miR-200a-3p,FH
hsa-miR-200a-3p,FAM129A
hsa-miR-200a-3p,TIMP3
hsa-miR-200a-3p,DPY19L4
hsa-miR-200a-3p,PHKB
hsa-miR-200a-3p,DNAJC18
hsa-miR-200a-3p,NUCKS1
hsa-miR-200a-3p,CELF1
hsa-miR-200a-3p,VHL
hsa-miR-200a-3p,RMND5A
hsa-miR-200a-3p,FUT2
hsa-miR-200a-3p,DEK
hsa-miR-200a-3p,DSCC1
hsa-miR-200a-3p,KDELR2
hsa-miR-200a-3p,APAF1
hsa-miR-200a-3p,BLZF1
hsa-miR-200a-3p,TMEM87B
hsa-miR-200a-3p,NUSAP1
hsa-miR-200a-3p,MAPK8
hsa-miR-200a-3p,ITGA2
hsa-miR-200a-3p,HSP90AA2
hsa-miR-200a-3p,TTC5
hsa-miR-200a-3p,CLCN6
hsa-miR-200a-3p,EPT1
hsa-miR-200a-3p,FAM72D
hsa-miR-200a-3p,TMEM61
hsa-miR-200a-3p,GAPVD1
hsa-miR-200a-3p,NAGS
hsa-miR-200a-3p,UBE2F
hsa-miR-200a-3p,E2F5
hsa-miR-200a-3p,PREPL
hsa-miR-200a-3p,NUAK2
hsa-miR-200a-3p,ABCA11P
hsa-miR-200a-3p,ANKH
hsa-miR-200a-3p,NUP35
hsa-miR-200a-3p,CHEK1
hsa-miR-200a-3p,SEMA4F
hsa-miR-200a-3p,C5orf32
hsa-miR-200a-3p,XRN1
hsa-miR-200a-3p,FLOT1
hsa-miR-200a-3p,FLOT1
hsa-miR-200a-3p,FLOT1
hsa-miR-200a-3p,UBE2D1
hsa-miR-200a-3p,UFC1
hsa-miR-200a-3p,ALDH9A1
hsa-miR-200a-3p,CDK17
hsa-miR-200a-3p,SIPA1L3
hsa-miR-200a-3p,APPL1
hsa-miR-200a-3p,SLC25A30
hsa-miR-200a-3p,CPPED1
hsa-miR-200a-3p,DMKN
hsa-miR-200a-3p,C7orf23
hsa-miR-200a-3p,TTC21B
hsa-miR-200a-3p,KLRC4
hsa-miR-200a-3p,PPAT
hsa-miR-200a-3p,RNF128
hsa-miR-200a-3p,NDUFA6
hsa-miR-200a-3p,TNS3
hsa-miR-200a-3p,SLC35D1
hsa-miR-200a-3p,JHDM1D
hsa-miR-200a-3p,AMIGO2
hsa-miR-200a-3p,DLL4
hsa-miR-200a-3p,HIST1H2BC
hsa-miR-200a-3p,ACSS3
hsa-miR-200a-3p,C14orf128
hsa-miR-200a-3p,STEAP1
hsa-miR-200a-3p,CCDC14
hsa-miR-200a-3p,C19orf63
hsa-miR-200a-3p,ERLIN2
hsa-miR-200a-3p,HIST1H2BJ
hsa-miR-200a-3p,WWP1
hsa-miR-200a-3p,CTDSPL
hsa-miR-200a-3p,CFHR4
hsa-miR-200a-3p,FAM160B1
hsa-miR-200a-3p,IGF2R
hsa-miR-200a-3p,IREB2
hsa-miR-200a-3p,PDE8B
hsa-miR-200a-3p,LTA
hsa-miR-200a-3p,IGF2
hsa-miR-200a-3p,CHN2
hsa-miR-200a-3p,CARM1
hsa-miR-200a-3p,TMEM54
hsa-miR-200a-3p,SLC44A3
hsa-miR-200a-3p,ZNF100
hsa-miR-200a-3p,KIAA0586
hsa-miR-200a-3p,YWHAH
hsa-miR-200a-3p,PLAU
hsa-miR-200a-3p,SMURF2
hsa-miR-200a-3p,VKORC1L1
hsa-miR-200a-3p,PEAR1
hsa-miR-200a-3p,PRSS22
hsa-miR-200a-3p,CCDC28A
hsa-miR-200a-3p,HTATSF1
hsa-miR-200a-3p,SERPINB8
hsa-miR-200a-3p,CSPG4
hsa-miR-200a-3p,ANKRD56
hsa-miR-200a-3p,TMEM217
hsa-miR-200a-3p,RFX7
hsa-miR-200a-3p,FAM69A
hsa-miR-200a-3p,NFKBIB
hsa-miR-200a-3p,CPOX
hsa-miR-200a-3p,C14orf145
hsa-miR-200a-3p,PUSL1
hsa-miR-200a-3p,ANKRD13C
hsa-miR-200a-3p,CRBN
hsa-miR-200a-3p,GDAP1
hsa-miR-200a-3p,CIITA
hsa-miR-200a-3p,PODXL
hsa-miR-200a-3p,TOR1AIP1
hsa-miR-200a-3p,CRLF2
hsa-miR-200a-3p,EPN1
hsa-miR-200a-3p,RUNX2
hsa-miR-200a-3p,SOD2
hsa-miR-200a-3p,C16orf74
hsa-miR-200a-3p,OTUD1
hsa-miR-200a-3p,SEPN1
hsa-miR-200a-3p,BECN1
hsa-miR-200a-3p,FOXRED2
hsa-miR-200a-3p,KIF18A
hsa-miR-200a-3p,BAIAP2L1
hsa-miR-200a-3p,TSEN2
hsa-miR-200a-3p,AMFR
hsa-miR-200a-3p,B3GNT5
hsa-miR-200a-3p,ACIN1
hsa-miR-200a-3p,GLIPR2
hsa-miR-200a-3p,FAM72D
hsa-miR-200a-3p,RAD51L1
hsa-miR-200a-3p,C6orf35
hsa-miR-200a-3p,DNAJB9
hsa-miR-200a-3p,CDC42BPA
hsa-miR-200a-3p,ANGEL2
hsa-miR-200a-3p,RNF149
hsa-miR-200a-3p,FAM117A
hsa-miR-200a-3p,ACOT7
hsa-miR-200a-3p,SH3BP5L
hsa-miR-200a-3p,HCCS
hsa-miR-200a-3p,PLAG1
hsa-miR-200a-3p,HNMT
hsa-miR-200a-3p,PARP2
hsa-miR-200a-3p,TAF12
hsa-miR-200a-3p,PIKFYVE
hsa-miR-200a-3p,PNO1
hsa-miR-200a-3p,SHANK2
hsa-miR-200a-3p,EREG
hsa-miR-200a-3p,PSG1
hsa-miR-200a-3p,TBC1D2
hsa-miR-200a-3p,S1PR2
hsa-miR-200a-3p,DSG2
hsa-miR-200a-3p,LARP4
hsa-miR-200a-3p,ZNF805
hsa-miR-200a-3p,KIAA0090
hsa-miR-200a-3p,TBC1D14
hsa-miR-200a-3p,QPCT
hsa-miR-200a-3p,DAGLA
