miRNA,Gene
hsa-let-7b,FADS2
hsa-let-7b,DUSP23
hsa-let-7b,DUSP12
hsa-let-7b,DSP
hsa-let-7b,DOCK5
hsa-let-7b,DHX57
hsa-let-7b,CSNK1D
hsa-let-7b,COMMD9
hsa-let-7b,CHMP2A
hsa-let-7b,CDKAL1
hsa-let-7b,CDIPT
hsa-let-7b,CARHSP1
hsa-let-7b,CAPG
hsa-let-7b,CALCOCO2
hsa-let-7b,AURKB
hsa-let-7b,ATP6V1F
hsa-let-7b,ATP6V0A1
hsa-let-7b,ATAD3B
hsa-let-7b,ANAPC1
hsa-let-7b,AKAP8
hsa-let-7b,AARSD1
hsa-let-7b,MTPN
hsa-let-7b,RPIA
hsa-let-7b,ACTG1
hsa-let-7b,HMGA2
hsa-let-7b,CDC25A
hsa-let-7b,CDK6
hsa-let-7b,BCL7A
hsa-let-7b,CCND1
hsa-let-7b,E2F5
hsa-let-7b,LIN28B
hsa-let-7b,CCND2
hsa-let-7b,NRAS
hsa-let-7b,CCNA2
hsa-let-7b,LIN28A
hsa-let-7b,IFNB1
hsa-let-7b,NR2E1
hsa-let-7b,SCAMP3
hsa-let-7b,HNRNPDL
hsa-let-7b,PDGFRA
hsa-let-7b,BIRC6
hsa-let-7b,CCNJ
hsa-let-7b,AGO3
hsa-let-7b,PLAGL2
hsa-let-7b,PDE12
hsa-let-7b,DZIP1
hsa-let-7b,SIGMAR1
hsa-let-7b,DLC1
hsa-let-7b,NXT2
hsa-let-7b,E2F6
hsa-let-7b,GPX7
hsa-let-7b,SSR1
hsa-let-7b,YAP1
hsa-let-7b,GZF1
hsa-let-7b,SOX9
hsa-let-7b,RRM2
hsa-let-7b,AURKA
hsa-let-7b,FARP1
hsa-let-7b,CPED1
hsa-let-7b,CBFB
hsa-let-7b,RCAN1
hsa-let-7b,CDCA7
hsa-let-7b,TAB2
hsa-let-7b,GTF2I
hsa-let-7b,ARID3A
hsa-let-7b,DMD
hsa-let-7b,CCNF
hsa-let-7b,CIAO1
hsa-let-7b,NCAPG2
hsa-let-7b,CCBL2
hsa-let-7b,DCTPP1
hsa-let-7b,EDEM3
hsa-let-7b,CHPF2
hsa-let-7b,CCDC115
hsa-let-7b,ALG3
hsa-let-7b,ARL15
hsa-let-7b,MAP7D1
