miRNA,Gene
hsa-miR-200b-3p,KATNA1
hsa-miR-200b-3p,RARA
hsa-miR-200b-3p,FLRT2
hsa-miR-200b-3p,WSB1
hsa-miR-200b-3p,GPR68
hsa-miR-200b-3p,MCFD2
hsa-miR-200b-3p,IFIT1
hsa-miR-200b-3p,ATG4D
hsa-miR-200b-3p,ZDHHC23
hsa-miR-200b-3p,NDST1
hsa-miR-200b-3p,RRP15
hsa-miR-200b-3p,HINT3
hsa-miR-200b-3p,HTR1D
hsa-miR-200b-3p,ZNF532
hsa-miR-200b-3p,GTF2E1
hsa-miR-200b-3p,TMEM43
hsa-miR-200b-3p,FMNL1
hsa-miR-200b-3p,PPM1F
hsa-miR-200b-3p,TRAPPC4
hsa-miR-200b-3p,PFDN6
hsa-miR-200b-3p,PFDN6
hsa-miR-200b-3p,PFDN6
hsa-miR-200b-3p,DNAJA3
hsa-miR-200b-3p,C10orf67
hsa-miR-200b-3p,SGK3
hsa-miR-200b-3p,DNAJC6
hsa-miR-200b-3p,PPP1R1C
hsa-miR-200b-3p,PDE7B
hsa-miR-200b-3p,GAPVD1
hsa-miR-200b-3p,MIR27A
hsa-miR-200b-3p,SLC25A19
hsa-miR-200b-3p,CCDC109B
hsa-miR-200b-3p,HAS2
hsa-miR-200b-3p,ZNF117
hsa-miR-200b-3p,ZNF238
hsa-miR-200b-3p,CNTNAP3
hsa-miR-200b-3p,CNTNAP3
hsa-miR-200b-3p,CD82
hsa-miR-200b-3p,ISCU
hsa-miR-200b-3p,PPAP2B
hsa-miR-200b-3p,ANK2
hsa-miR-200b-3p,FSCN1
hsa-miR-200b-3p,CHRNB1
hsa-miR-200b-3p,PCDHB13
hsa-miR-200b-3p,FAM114A2
hsa-miR-200b-3p,NIN
hsa-miR-200b-3p,KCNN3
hsa-miR-200b-3p,SERTAD2
hsa-miR-200b-3p,ZFAND2A
hsa-miR-200b-3p,PROSC
hsa-miR-200b-3p,ATPBD4
hsa-miR-200b-3p,CCNJ
hsa-miR-200b-3p,EGR1
hsa-miR-200b-3p,ZNF367
hsa-miR-200b-3p,PLEKHA7
hsa-miR-200b-3p,DUS2L
hsa-miR-200b-3p,RAD51C
hsa-miR-200b-3p,ERO1LB
hsa-miR-200b-3p,PER3
hsa-miR-200b-3p,ASB13
hsa-miR-200b-3p,ARL14
hsa-miR-200b-3p,WIPF1
hsa-miR-200b-3p,KIAA1804
hsa-miR-200b-3p,ARG2
hsa-miR-200b-3p,FBP1
hsa-miR-200b-3p,PER2
hsa-miR-200b-3p,C1GALT1
hsa-miR-200b-3p,ANKRD49
hsa-miR-200b-3p,KDELC1
hsa-miR-200b-3p,ERLIN2
hsa-miR-200b-3p,AGPAT9
hsa-miR-200b-3p,PMEPA1
hsa-miR-200b-3p,PPFIBP1
hsa-miR-200b-3p,ITGAV
hsa-miR-200b-3p,MMP9
hsa-miR-200b-3p,NPTN
hsa-miR-200b-3p,RC3H2
hsa-miR-200b-3p,ZNF699
hsa-miR-200b-3p,RSPRY1
hsa-miR-200b-3p,LRRC40
hsa-miR-200b-3p,UGT8
hsa-miR-200b-3p,OTUB2
hsa-miR-200b-3p,SF3B3
hsa-miR-200b-3p,PLA2G15
hsa-miR-200b-3p,PAK6
hsa-miR-200b-3p,MAP4K4
hsa-miR-200b-3p,GJA1
hsa-miR-200b-3p,PTPRJ
hsa-miR-200b-3p,AHSA1
hsa-miR-200b-3p,CCT2
hsa-miR-200b-3p,CHMP4C
hsa-miR-200b-3p,SOCS1
hsa-miR-200b-3p,CHAC1
hsa-miR-200b-3p,CDC23
hsa-miR-200b-3p,LAYN
hsa-miR-200b-3p,SLC25A13
hsa-miR-200b-3p,KCNAB2
hsa-miR-200b-3p,GPC6
hsa-miR-200b-3p,METAP2
hsa-miR-200b-3p,CAV2
hsa-miR-200b-3p,BRCA2
hsa-miR-200b-3p,ZNF292
hsa-miR-200b-3p,SHCBP1
hsa-miR-200b-3p,PRMT5
hsa-miR-200b-3p,TTPAL
hsa-miR-200b-3p,PRORSD1P
hsa-miR-200b-3p,KLRC4
hsa-miR-200b-3p,TMEM185A
hsa-miR-200b-3p,MEST
hsa-miR-200b-3p,STYXL1
hsa-miR-200b-3p,POLR1B
hsa-miR-200b-3p,TMOD2
hsa-miR-200b-3p,RPAP3
hsa-miR-200b-3p,DDX60
hsa-miR-200b-3p,GALC
hsa-miR-200b-3p,AURKA
hsa-miR-200b-3p,FARSB
hsa-miR-200b-3p,CD99
hsa-miR-200b-3p,CD99
hsa-miR-200b-3p,FBXL2
hsa-miR-200b-3p,MOSPD2
hsa-miR-200b-3p,HSP90AA6P
hsa-miR-200b-3p,NOL8
hsa-miR-200b-3p,MBTPS2
hsa-miR-200b-3p,SRGN
hsa-miR-200b-3p,RBL1
hsa-miR-200b-3p,PTBP2
hsa-miR-200b-3p,COMMD10
hsa-miR-200b-3p,ZNRD1
hsa-miR-200b-3p,KCNN4
hsa-miR-200b-3p,RBMS3
hsa-miR-200b-3p,MAP4K5
hsa-miR-200b-3p,C19orf73
hsa-miR-200b-3p,KRT80
hsa-miR-200b-3p,WLS
hsa-miR-200b-3p,GRHL1
hsa-miR-200b-3p,AAGAB
hsa-miR-200b-3p,KRT81
hsa-miR-200b-3p,LFNG
hsa-miR-200b-3p,LCORL
hsa-miR-200b-3p,BIRC3
hsa-miR-200b-3p,PTPN18
hsa-miR-200b-3p,SORCS2
hsa-miR-200b-3p,SYNJ2
hsa-miR-200b-3p,MICAL2
hsa-miR-200b-3p,ISYNA1
hsa-miR-200b-3p,TIMELESS
hsa-miR-200b-3p,CNTNAP3
hsa-miR-200b-3p,IRAK4
hsa-miR-200b-3p,IGF2BP3
hsa-miR-200b-3p,CEP70
hsa-miR-200b-3p,ITGA6
hsa-miR-200b-3p,EIF2A
hsa-miR-200b-3p,C11orf9
hsa-miR-200b-3p,PKP3
hsa-miR-200b-3p,NOB1
hsa-miR-200b-3p,ARL15
hsa-miR-200b-3p,VRK1
hsa-miR-200b-3p,MOSPD1
hsa-miR-200b-3p,TBL1XR1
hsa-miR-200b-3p,C20orf20
hsa-miR-200b-3p,ETS1
hsa-miR-200b-3p,ZNF703
hsa-miR-200b-3p,EPDR1
hsa-miR-200b-3p,C1orf144
hsa-miR-200b-3p,KLHDC10
hsa-miR-200b-3p,CXorf26
hsa-miR-200b-3p,LPAR2
hsa-miR-200b-3p,LRP1
hsa-miR-200b-3p,QDPR
hsa-miR-200b-3p,CTSW
hsa-miR-200b-3p,ADRBK1
hsa-miR-200b-3p,RP2
hsa-miR-200b-3p,LOC440297
hsa-miR-200b-3p,ADCK2
hsa-miR-200b-3p,PPP3R1
hsa-miR-200b-3p,IKBKB
hsa-miR-200b-3p,ABHD14B
hsa-miR-200b-3p,LONRF3
hsa-miR-200b-3p,SECISBP2L
hsa-miR-200b-3p,ABHD5
hsa-miR-200b-3p,SH3BGRL2
hsa-miR-200b-3p,SDPR
hsa-miR-200b-3p,SYBU
hsa-miR-200b-3p,CPNE2
hsa-miR-200b-3p,TMEM139
hsa-miR-200b-3p,DDX17
hsa-miR-200b-3p,ZNF382
hsa-miR-200b-3p,NUDT4
hsa-miR-200b-3p,OASL
hsa-miR-200b-3p,CRIPT
hsa-miR-200b-3p,ARL6
hsa-miR-200b-3p,HSP90AA1
hsa-miR-200b-3p,ANUBL1
hsa-miR-200b-3p,MED21
hsa-miR-200b-3p,NMU
hsa-miR-200b-3p,KLF5
hsa-miR-200b-3p,RMI1
hsa-miR-200b-3p,SLC9A3R2
hsa-miR-200b-3p,STBD1
hsa-miR-200b-3p,ZBTB38
hsa-miR-200b-3p,MTMR4
hsa-miR-200b-3p,GPER
hsa-miR-200b-3p,RDH11
hsa-miR-200b-3p,CNOT6
hsa-miR-200b-3p,KDR
hsa-miR-200b-3p,KATNAL1
hsa-miR-200b-3p,AHNAK
hsa-miR-200b-3p,DSEL
hsa-miR-200b-3p,GPR107
hsa-miR-200b-3p,RECQL
hsa-miR-200b-3p,CORO2B
hsa-miR-200b-3p,MPDZ
hsa-miR-200b-3p,LOC440297
hsa-miR-200b-3p,LOC440297
hsa-miR-200b-3p,LOC440297
hsa-miR-200b-3p,LOC440297
hsa-miR-200b-3p,C6orf192
hsa-miR-200b-3p,TUBB2A
hsa-miR-200b-3p,RBMS2
hsa-miR-200b-3p,KLHL4
hsa-miR-200b-3p,NHEJ1
hsa-miR-200b-3p,MTMR9
hsa-miR-200b-3p,PMAIP1
hsa-miR-200b-3p,TENC1
hsa-miR-200b-3p,DFFB
hsa-miR-200b-3p,CDCA7L
hsa-miR-200b-3p,RAP2C
hsa-miR-200b-3p,SH2B3
hsa-miR-200b-3p,PPP1R12B
hsa-miR-200b-3p,ICA1L
hsa-miR-200b-3p,DENND2A
hsa-miR-200b-3p,GNRHR2
hsa-miR-200b-3p,C21orf63
hsa-miR-200b-3p,ERV3
hsa-miR-200b-3p,TTYH3
hsa-miR-200b-3p,SLC46A1
hsa-miR-200b-3p,FAM175B
hsa-miR-200b-3p,SPINT1
hsa-miR-200b-3p,C11orf67
hsa-miR-200b-3p,HSD17B6
hsa-miR-200b-3p,SLC25A44
hsa-miR-200b-3p,TMEM150A
hsa-miR-200b-3p,GLS2
hsa-miR-200b-3p,SLC22A4
hsa-miR-200b-3p,CXorf23
hsa-miR-200b-3p,PDCD2L
hsa-miR-200b-3p,GPN1
hsa-miR-200b-3p,OLFML2A
hsa-miR-200b-3p,THRA
hsa-miR-200b-3p,EPB41L5
hsa-miR-200b-3p,CXorf56
hsa-miR-200b-3p,LOC728024
hsa-miR-200b-3p,C7orf46
hsa-miR-200b-3p,OTUD6B
hsa-miR-200b-3p,NDST3
hsa-miR-200b-3p,UHMK1
hsa-miR-200b-3p,GMPPB
hsa-miR-200b-3p,HSPH1
hsa-miR-200b-3p,FAM135A
hsa-miR-200b-3p,CDKN3
hsa-miR-200b-3p,CBFB
hsa-miR-200b-3p,PLCG1
hsa-miR-200b-3p,LAPTM5
hsa-miR-200b-3p,CMTM3
hsa-miR-200b-3p,CIC
hsa-miR-200b-3p,THRB
hsa-miR-200b-3p,CYR61
hsa-miR-200b-3p,SESN1
hsa-miR-200b-3p,ZNF608
hsa-miR-200b-3p,PITPNM2
hsa-miR-200b-3p,NT5C2
hsa-miR-200b-3p,LRP12
hsa-miR-200b-3p,COL5A1
hsa-miR-200b-3p,MITF
hsa-miR-200b-3p,SPOCD1
hsa-miR-200b-3p,HSDL1
hsa-miR-200b-3p,CRY1
hsa-miR-200b-3p,TRAPPC6B
hsa-miR-200b-3p,SMAD3
hsa-miR-200b-3p,SDSL
hsa-miR-200b-3p,APEX2
hsa-miR-200b-3p,EIF4E3
hsa-miR-200b-3p,LRAT
hsa-miR-200b-3p,BECN1
hsa-miR-200b-3p,HTT
hsa-miR-200b-3p,TMEM45A
hsa-miR-200b-3p,C15orf23
hsa-miR-200b-3p,TBCC
hsa-miR-200b-3p,PCMTD1
hsa-miR-200b-3p,ETF1
hsa-miR-200b-3p,GJB3
hsa-miR-200b-3p,SGCB
hsa-miR-200b-3p,PIAS3
hsa-miR-200b-3p,AMMECR1
hsa-miR-200b-3p,RNF2
hsa-miR-200b-3p,MPV17L2
hsa-miR-200b-3p,DET1
hsa-miR-200b-3p,ZSWIM6
hsa-miR-200b-3p,PSMC3IP
hsa-miR-200b-3p,NDUFB5
hsa-miR-200b-3p,IL6R
hsa-miR-200b-3p,NACC1
hsa-miR-200b-3p,EXT1
hsa-miR-200b-3p,MYO5B
hsa-miR-200b-3p,SLC25A40
hsa-miR-200b-3p,KDELR2
hsa-miR-200b-3p,SMUG1
hsa-miR-200b-3p,PKP2
hsa-miR-200b-3p,ARHGAP18
hsa-miR-200b-3p,SERPINI1
hsa-miR-200b-3p,SLC25A30
hsa-miR-200b-3p,MCTS1
hsa-miR-200b-3p,MYO5C
hsa-miR-200b-3p,ACD
hsa-miR-200b-3p,HSPG2
hsa-miR-200b-3p,GNPAT
hsa-miR-200b-3p,SRP19
hsa-miR-200b-3p,CCNC
hsa-miR-200b-3p,IGFBP3
hsa-miR-200b-3p,FBXO48
hsa-miR-200b-3p,ABLIM3
hsa-miR-200b-3p,DNAJB11
hsa-miR-200b-3p,BMP1
hsa-miR-200b-3p,MRPL50
hsa-miR-200b-3p,SLC4A11
hsa-miR-200b-3p,RHOT1
hsa-miR-200b-3p,BCL3
hsa-miR-200b-3p,C19orf63
hsa-miR-200b-3p,ALG2
hsa-miR-200b-3p,BCAT1
hsa-miR-200b-3p,DUSP14
hsa-miR-200b-3p,CST7
hsa-miR-200b-3p,POLR3K
hsa-miR-200b-3p,PRPSAP2
hsa-miR-200b-3p,PDIA5
hsa-miR-200b-3p,YWHAH
hsa-miR-200b-3p,FBXO25
hsa-miR-200b-3p,LAYN
hsa-miR-200b-3p,CHRNA5
hsa-miR-200b-3p,S100A2
hsa-miR-200b-3p,SATB1
hsa-miR-200b-3p,RAB9B
hsa-miR-200b-3p,SH3RF1
hsa-miR-200b-3p,PIGW
hsa-miR-200b-3p,PTPN22
hsa-miR-200b-3p,EXOSC8
hsa-miR-200b-3p,CKMT1A
hsa-miR-200b-3p,CKMT1A
hsa-miR-200b-3p,LMNA
hsa-miR-200b-3p,PHACTR2
hsa-miR-200b-3p,AP1S2
hsa-miR-200b-3p,JUN
hsa-miR-200b-3p,SLC39A14
hsa-miR-200b-3p,NUP35
hsa-miR-200b-3p,RAPGEF1
hsa-miR-200b-3p,SAA1
hsa-miR-200b-3p,UCA1
hsa-miR-200b-3p,AMFR
hsa-miR-200b-3p,RSL24D1
hsa-miR-200b-3p,TBC1D9
hsa-miR-200b-3p,CCBE1
hsa-miR-200b-3p,MYBL1
hsa-miR-200b-3p,SP100
hsa-miR-200b-3p,SBF1
