mir,gene, 
hsa-let-7d,LIN28,
hsa-let-7e,LIN28,
hsa-let-7f,LIN28,
hsa-let-7g,LIN28,
hsa-let-7i,LIN28,
hsa-miR-34a,CEBPA,
hsa-miR-34a,TP53,
hsa-miR-17,MYC,
hsa-miR-20a,MYC,
hsa-miR-20b,MYC,
hsa-miR-106a,MYC,
hsa-miR-106b,MYC,
hsa-miR-93,MYC,
hsa-miR-17,MYC,
hsa-miR-29a,CEBPA,
hsa-miR-29b,CEBPA,
hsa-miR-9-2,CREB1,
hsa-miR-9-2,REST,
hsa-miR-205,BMP4,
hsa-miR-200a,BMP4,
hsa-miR-200b,BMP4,
hsa-miR-200c,BMP4,
hsa-miR-21,STAT3,
hsa-miR-22,AKT1,
hsa-miR-200a,TWIST1,
hsa-miR-200b,TWIST1,
hsa-miR-200c,TWIST1,
hsa-miR-205,TWIST1,
hsa-miR-410,CDKN2A,
hsa-miR-302a,POU5F1,
hsa-miR-302b,POU5F1,
hsa-miR-302c,POU5F1,
hsa-miR-302d,POU5F1,
hsa-miR-22,AKT2,
hsa-miR-22,AKT3,
hsa-miR-363,ERS1,
hsa-miR-92a-2,ERS1,
hsa-miR-19b-2,ERS1,
hsa-miR-20b,ERS1,
hsa-miR-18b,ERS1,
hsa-miR-155,MYB,
hsa-miR-200c,p53,
hsa-miR-448,NFKB1,
hsa-let-7a,LIN28B,
hsa-let-7b,LIN28B,
hsa-let-7c,LIN28B,
hsa-let-7d,LIN28B,
hsa-let-7e,LIN28B,
hsa-let-7f,LIN28B,
hsa-let-7g,LIN28B,
hsa-let-7i,LIN28B,
hsa-miR-155,NFKB1,
hsa-miR-1,SLUG,
hsa-miR-200a,SLUG,
hsa-miR-200b,SLUG,
hsa-miR-200c,SLUG,
hsa-let-7a-3,NFKB1,
hsa-hsa-miR-196b,ETS2,
hsa-miR-34a,NFKB1,
hsa-miR-216a,AR,
hsa-miR-17,STAT5,
hsa-miR-18a,STAT5,
hsa-miR-19a,STAT5,
hsa-miR-20a,STAT5,
hsa-miR-19b-1,STAT5,
hsa-miR-92a-1,STAT5,
hsa-let-7,MYC,
hsa-let-7,ZEB1,
hsa-miR-200c,ZEB1,
hsa-miR-200c,EP300,
hsa-miR-200c,KAT2B,
hsa-miR-141,ZEB1,
hsa-miR-141,EP300,
hsa-miR-141,KAT2B,
hsa-miR-335,MYCN,
hsa-miR-199a-2,NFKB1,
hsa-miR-214,NFKB1,
hsa-miR-181a,TP63,
hsa-miR-519a,TP63,
hsa-miR-374a,TP63,
hsa-miR-630,TP63,
hsa-miR-143,CEBPB,
hsa-let-7b,NFKB1,
hsa-miR-143,KLF2,
hsa-miR-145,KLF2,
hsa-miR-21,AP-1,
hsa-miR-1,YY1,
hsa-miR-200a,SIX1,
hsa-miR-200b,SIX1,
hsa-miR-200c,SIX1,
hsa-miR-17,NFKB1,
hsa-miR-21,NFKB1,
hsa-miR-10b,NFKB1,
hsa-miR-9,NFKB1,
hsa-miR-192,TGFB1,
hsa-miR-194,TGFB1,
hsa-miR-192,TP53,
hsa-miR-194,TP53,
hsa-miR-192,HNF1A,
hsa-miR-194,HNF1A,
hsa-miR-519d,TP53,
hsa-miR-29b,MYC,
hsa-miR-30a,ESR2,
hsa-miR-23b,ESR2,
hsa-miR-27b,ESR2,
hsa-miR-24-1,ESR2,
hsa-miR-29b-1,AP-1,
hsa-miR-29a,AP-1,
hsa-miR-34a,TP53,
hsa-miR-133a-1,MYOG,
hsa-miR-133a-2,MYOG,
hsa-miR-133b,MYOG,
hsa-miR-224,NFKB1,
hsa-miR-155,IRF1,
hsa-let-7g,POU2F1,
hsa-miR-34a,SNAI1,
hsa-miR-34b,SNAI1,
hsa-miR-34a,ZEB1,
hsa-miR-34b,ZEB1,
hsa-miR-125a,TLR2,
hsa-miR-155,NFKB3,
hsa-miR-125b,STAT3,
hsa-miR-143,TP73,
hsa-miR-145,TP73,
hsa-miR-21,DDX5,
hsa-miR-182,DDX5,
hsa-miR-34c,SP1,
hsa-miR-338,SOX10,
hsa-miR-140,SOX9,
hsa-miR-140,sox9a,
hsa-miR-135b,STAT3,
hsa-miR-34a,TP53,
hsa-miR-34b,TP53,
hsa-miR-34c,TP53,
hsa-miR-200a,SMAD3,
hsa-miR-200b,SMAD3,
hsa-miR-371,LEF1,
hsa-miR-371,CTNNB1,
hsa-miR-372,LEF1,
hsa-miR-372,CTNNB1,
hsa-miR-373,LEF1,
hsa-miR-373,CTNNB1,
hsa-miR-346,XBP1,
hsa-miR-21,TCF4,
hsa-miR-26a,MYC,
hsa-miR-26b,MYC,
hsa-miR-34a,TP53,
hsa-let-7a-1,MYC,
hsa-let-7f-1,MYC,
hsa-let-7d,MYC,
hsa-miR-125b,CDX2,
hsa-miR-17,SPI1,
hsa-miR-18a,SPI1,
hsa-miR-19a,SPI1,
hsa-miR-20a,SPI1,
hsa-miR-19b-1,SPI1,
hsa-miR-92a-1,SPI1,
hsa-miR-212,CREB1,
hsa-miR-132,CREB1,
hsa-miR-135b,FOXM1,
hsa-miR-140,SOX9,
hsa-miR-132,CREB1,
hsa-miR-221,FOSL1,
hsa-miR-222,FOSL1,
hsa-miR-449a,E2F1,
hsa-miR-449b,E2F1,
hsa-miR-449c,E2F1,
hsa-miR-375,ASH1L,
hsa-let-7a,FLI1,
hsa-miR-200a,HDAC4,
hsa-miR-101,KDM2A,
hsa-miR-101,EZH2,
hsa-miR-21,ETV5,
hsa-miR-7,FOXP3,
hsa-miR-155,FOXP3,
hsa-miR-146a,ETS1,
hsa-miR-146a,SPI1,
hsa-miR-342,SPI1,
hsa-miR-338,SPI1,
hsa-miR-155,SPI1,
hsa-miR-21,REL,
hsa-miR-21,RELA,
hsa-miR-21,STAT3,
hsa-miR-143,SMAD3,
hsa-miR-145,SMAD3,
hsa-miR-143,SMAD4,
hsa-miR-145,SMAD4,
hsa-miR-181a-2,TCF4,
hsa-miR-181b-2,TCF4,
hsa-miR-222,ETS1,
hsa-miR-143,JAG1,
hsa-miR-145,JAG1,
hsa-miR-221,FOSL1,
hsa-miR-143,TGFB1,
hsa-miR-145,BMP4,
hsa-miR-193a,MAX,
hsa-miR-193a,RXRA,
hsa-miR-132,SP1,
hsa-miR-222,HMGA1,
hsa-miR-10b,TWIST1,
hsa-miR-210,HIF1A,
hsa-miR-29,TP53,
hsa-miR-200a,TP53,
hsa-miR-200b,TP53,
hsa-miR-200c,TP53,
hsa-miR-192,TP53,
hsa-miR-365,SP1,
hsa-miR-365,NFKB1,
hsa-miR-34a,E2F3,
hsa-miR-155,AP-1,
hsa-miR-378,MYOD1,
hsa-miR-451,TCF3,
hsa-miR-709,TCF3,
hsa-miR-148a,MYB,
hsa-miR-15a,E2F1,
hsa-miR-15b,E2F1,
hsa-miR-16-1,E2F1,
hsa-miR-16-2,E2F1,
hsa-miR-193a,TP63,
hsa-miR-193a,TP73,
hsa-miR-200a,GATA3,
hsa-miR-200b,GATA3,
hsa-miR-200c,GATA3,
hsa-miR-132,GNRH1,
hsa-miR-212,GNRH1,
hsa-let-7a-2,CEBPA,
hsa-miR-2861,RUNX2,
miR-3960,RUNX2,
